City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,airai,TL,2021-01-17 06:33:57,-8.9266,125.4092,66.85,100,100,1.54,moderate rain
62,mezen,RU,2021-01-17 06:42:05,65.8522,44.24,4.21,94,100,7.2,light snow
63,fort nelson,CA,2021-01-17 06:34:24,58.8053,-122.7002,14.0,85,90,0.94,overcast clouds
64,monrovia,LR,2021-01-17 06:34:00,6.3005,-10.7969,75.2,94,90,5.75,fog
65,sao filipe,CV,2021-01-17 06:33:59,14.8961,-24.4956,70.79,73,24,9.17,few clouds
66,kodiak,US,2021-01-17 06:33:55,57.79,-152.4072,37.4,93,90,4.61,light rain
67,busselton,AU,2021-01-17 06:33:48,-33.65,115.3333,91.0,24,0,8.01,clear sky
68,kabo,CF,2021-01-17 06:42:05,7.6994,18.629,78.78,19,5,3.78,clear sky
69,castro,BR,2021-01-17 06:33:51,-24.7911,-50.0119,65.64,95,100,8.08,light rain
70,zambrow,PL,2021-01-17 06:42:05,52.9855,22.2432,0.0,82,61,6.26,broken clouds
71,lamu,KE,2021-01-17 06:42:05,-2.2717,40.902,82.4,74,20,8.05,few clouds
72,broken hill,AU,2021-01-17 06:34:14,-31.95,141.4333,80.6,26,100,13.8,overcast clouds
73,hithadhoo,MV,2021-01-17 06:33:48,-0.6,73.0833,81.46,72,96,9.19,overcast clouds
74,asau,RO,2021-01-17 06:42:05,46.4333,26.4,14.0,57,96,4.43,overcast clouds
75,ponta do sol,PT,2021-01-17 06:33:54,32.6667,-17.1,55.99,66,56,1.99,broken clouds
76,netarhat,IN,2021-01-17 06:42:05,23.4833,84.2667,72.37,20,0,4.32,clear sky
77,lavrentiya,RU,2021-01-17 06:34:07,65.5833,-171.0,-7.87,85,75,9.6,broken clouds
78,huarmey,PE,2021-01-17 06:42:05,-10.0681,-78.1522,71.22,80,100,6.51,overcast clouds
79,vega de alatorre,MX,2021-01-17 06:42:05,20.0333,-96.6333,66.6,79,100,10.31,light rain
80,erenhot,CN,2021-01-17 06:42:06,43.6475,111.9767,8.62,88,67,16.15,broken clouds
81,torbay,CA,2021-01-17 06:33:56,47.6666,-52.7314,34.0,93,90,16.11,overcast clouds
82,mar del plata,AR,2021-01-17 06:33:54,-38.0023,-57.5575,61.0,88,90,5.75,light rain
83,ballina,AU,2021-01-17 06:34:13,-28.8667,153.5667,82.4,54,83,14.97,broken clouds
84,alegrete,BR,2021-01-17 06:42:06,-29.7831,-55.7919,70.7,90,100,6.02,overcast clouds
85,leningradskiy,RU,2021-01-17 06:33:50,69.3833,178.4167,-20.7,85,100,4.94,overcast clouds
86,hobyo,SO,2021-01-17 06:34:19,5.3505,48.5268,80.01,66,52,17.67,broken clouds
87,braco do norte,BR,2021-01-17 06:40:23,-28.275,-49.1656,72.1,92,98,2.57,light rain
88,zatoka,UA,2021-01-17 06:42:06,46.0725,30.4654,5.0,78,0,11.18,clear sky
89,aksu,CN,2021-01-17 06:39:13,41.1231,80.2644,25.54,75,0,1.74,clear sky
90,verkh-usugli,RU,2021-01-17 06:42:06,52.7,115.1667,-11.74,74,97,9.35,overcast clouds
91,nome,US,2021-01-17 06:40:37,64.5011,-165.4064,8.6,66,40,6.91,scattered clouds
92,richards bay,ZA,2021-01-17 06:39:00,-28.783,32.0377,74.41,80,99,8.81,overcast clouds
93,paka,MY,2021-01-17 06:42:06,4.6374,103.4368,82.4,74,40,10.36,scattered clouds
94,port-cartier,CA,2021-01-17 06:34:04,50.0334,-66.8654,28.4,93,100,14.97,snow
95,geraldton,AU,2021-01-17 06:31:03,-28.7667,114.6,102.2,19,75,18.41,broken clouds
96,half moon bay,US,2021-01-17 06:37:29,37.4636,-122.4286,55.0,93,90,1.68,mist
97,dolores,AR,2021-01-17 06:42:06,-36.3132,-57.6792,58.05,94,38,9.06,scattered clouds
98,faanui,PF,2021-01-17 06:33:48,-16.4833,-151.75,81.57,78,0,13.18,light rain
99,jalu,LY,2021-01-17 06:34:17,29.0331,21.5482,53.04,55,0,17.92,clear sky
100,gat,IL,2021-01-17 06:42:06,31.61,34.7642,57.0,55,0,4.0,clear sky
101,meridian,US,2021-01-17 06:40:13,43.6121,-116.3915,33.8,100,35,1.16,mist
102,ostrovnoy,RU,2021-01-17 06:34:09,68.0531,39.5131,24.96,96,100,6.08,overcast clouds
103,dikson,RU,2021-01-17 06:33:52,73.5069,80.5464,-28.44,85,3,11.07,clear sky
104,guliston,UZ,2021-01-17 06:42:06,40.4897,68.7842,52.79,42,0,6.24,clear sky
105,kitimat,CA,2021-01-17 06:42:07,54.0524,-128.6534,35.01,96,100,3.15,moderate rain
106,georgiyevka,KZ,2021-01-17 06:42:07,43.0369,74.7114,37.4,56,0,8.95,clear sky
107,surt,LY,2021-01-17 06:34:13,31.2089,16.5887,55.38,72,4,19.35,light rain
108,lyubim,RU,2021-01-17 06:42:07,58.3625,40.6843,-9.53,89,12,5.82,few clouds
109,carnarvon,AU,2021-01-17 06:33:53,-24.8667,113.6333,91.4,58,78,17.27,broken clouds
110,salalah,OM,2021-01-17 06:34:24,17.0151,54.0924,80.6,12,0,4.61,clear sky
111,gaya,IN,2021-01-17 06:42:07,24.7833,85.0,59.0,77,90,3.44,mist
112,mount isa,AU,2021-01-17 06:30:59,-20.7333,139.5,102.2,14,100,17.27,overcast clouds
113,tongchuan,CN,2021-01-17 06:41:23,35.0806,109.0897,42.53,40,0,16.04,clear sky
114,saint anthony,US,2021-01-17 06:42:07,45.0205,-93.218,23.0,93,90,5.75,overcast clouds
115,upernavik,GL,2021-01-17 06:33:50,72.7868,-56.1549,7.7,81,0,7.52,clear sky
116,hermanus,ZA,2021-01-17 06:33:49,-34.4187,19.2345,73.0,68,0,3.0,clear sky
117,henties bay,NA,2021-01-17 06:34:20,-22.116,14.2845,68.0,83,3,4.25,clear sky
118,klaksvik,FO,2021-01-17 06:33:53,62.2266,-6.589,41.0,87,75,28.77,light rain
